LNGI;LATI;PRID;Horizon;Nom_horizon;epais_hor;transition_distin;Munshell_col_hud;sable_gros;sable_moy;sable_fin;sable_tr_fin;sable_total;Limon;Argile;classe_TT;PH;PHKC;SO4;EXCA;EXMG;EXNA;EXCK;EXAL;CECS;total_carbone;total_azote;Phosphore
-16,31536102;14,26786041;SN002/KAL;1;NA;13;C;10YR4/1;NA;NA;NA;NA;86;8;3;S;3,609999895;3,410000086;0,779999971;NA;0,400000006;0,50999999;0,01;NA;2,799999952;NA;NA;NA
-16,31536102;14,26786041;SN002/KAL;2;NA;24;G;10YR7/6;NA;NA;NA;NA;90;7;1;S;3,769999981;3,630000114;0,25;NA;0,25;0,379999995;0,01;NA;2,599999905;NA;NA;NA
-16,31536102;14,26786041;SN002/KAL;3;NA;36;C;10YR7/3;NA;NA;NA;NA;85;7;4;LS;3,670000076;3,369999886;0,779999971;NA;0,790000021;0,529999971;0,01;NA;3,200000048;NA;NA;NA
-16,31536102;14,26786041;SN002/KAL;4;NA;110;NA;10YR5/1;NA;NA;NA;NA;43;37;20;L;3,059999943;2,849999905;7,510000229;0,680000007;3,720000029;4,53000021;0,07;NA;13,60000038;NA;NA;NA
-15,99233341;15,64472008;SN008C/A001;1;Ap;6;NA;10YR4/3;NA;NA;NA;NA;NA;NA;NA;NA;8,699999809;NA;NA;NA;NA;NA;NA;NA;NA;2,299999952;0,219999999;6
-15,99233341;15,64472008;SN008C/A001;2;A1;17;NA;10YR3/4;37;NA;52;NA;90;4;6;S;7,699999809;NA;NA;2,549999952;1,139999986;0,01;0,07;NA;316;1,800000072;0,179999992;1
-15,99233341;15,64472008;SN008C/A001;3;A2;59;NA;10YR3/4;34;NA;55;NA;88;4;7;S;7,5;NA;NA;2,50999999;1,330000043;0,02;0,059999999;NA;4,170000076;1,399999976;0,149999991;1
-15,99233341;15,64472008;SN008C/A001;4;B;90;NA;10YR3/3;33;NA;55;NA;88;4;8;S;7,699999809;NA;NA;3,089999914;1,480000019;0,029999999;0,059999999;NA;44;1,199999928;0,149999991;1
-15,99233341;15,64472008;SN008C/A001;5;C1;103;NA;10YR4/3;NA;NA;NA;NA;NA;NA;NA;NA;7,900000095;NA;NA;3,059999943;1,480000019;0,01;0,079999998;NA;4,130000114;NA;NA;NA
-15,99233341;15,64472008;SN008C/A001;6;C2;135;NA;10YR5/3;NA;NA;NA;NA;NA;NA;NA;NA;9,199999809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
